Activity Master: Activity Master Number	Activity Master: ID	Zone	Activity Code	Activity Name	Activity Name (Arabic)	Status	Minimum Share Capital	License Type	License Type (Arabic)	Is Not Allowed for Coworking(ESR)	RAKEZ HSE Risk Classification	Compliance Risk Rating -RR	Is Special	Activity Price	Activity Group	Activity Group (Arabic)	GICS Business Sector	GICS Subsector	Segment Name English	Segment Name Arabic	Description	Description (Arabic)	Qualification Requirement	Documents Required
AM-03699	a0v580000018MIh	Freezone	242205	Adhesives Manufacturing	صناعة مواد اللصق	Active	150,000	Industrial	صناعية	-	Medium		Standard		Manufacturing of chemicals	صناعة الكيماويات	Materials	Chemicals			Includes manufacturing adhesive materials for sticking paper, glass, metal, plastic or wood pieces, to use in printing, lamination, packaging, in construction for fixing ceramic, slabs and maquette, or wall-paper...etc, also producing adhesive tapes in paper, plastic, fabrics or others.	يشمل صناعة المواد المستخدمة في لصق الاوراق أو الأجزاء الزجاجية أو المعدنية أو البلاستيكية أو الخشبية أو لأغراض الطباعة والتجليد أو في إغلاق وتغليف الصناديق والعلب الكرتونية والورقية أو في أغراض البناء لتثبيت السيراميك والبلاط أو تثبيت السجاد (الموكيت) أو في لصق ورق الحائط أو غير ذلك، كما يشمل إنتاج الشرائط اللاصقة من الورق أو البلاستيك أو القماش أو غيرها.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-01866	a0v580000018Lp8	Freezone	514917	Adhesives Trading	تجارة المواد اللاصقة	Active		Commercial	تجارية	-	Medium		Standard		Chemicals trading	تجارة الكيماويات	Industrials	Trading Companies & Distributors			Includes reselling of glass, metal, plastic, wood fixing adhesive, packs, boxes, carton boxes closing tapes, paper, tiles, flooring and cladding adhesives and tapes, and any other material not classified under glue and gum.	هي إعادة بيع المواد المستخدمة في لصق الأجزاء الزجاجية أو المعدنية أو البلاستيكية أو الخشبية أو المستخدمة في إغلاق العبوات والصناديق الورقية والكرتونية، ولصق الورق والبلاط والأرضيات وكذلك مواد التكسية كالمعاجين والشرائط وغيرها من المواد اللاصقة ولوازمها التي لا تندرج تحت نشاط تجارة الصمغ والغراء.		
AM-08810	a0v4K0000001nIn	Freezone	70200-03	Administrative Consultancy and Studies	استشارات ودراسات ادارية	Active		Services	خدمية	-	Low		Special	5,000	Consultancy -D- management, information and marketing	الاستشارات - الادارة والمعلومات	Industrials	Professional Services			Includes providing administrative consultancies and studies to public departments and companies as regarding administrative performance analysis, procedural engineering, laying out flow-charts and related documents circulation, internal policy formulation, organizational restructuring, strategic plans development, innovating work procedures, designing balanced scorecards, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority.	يشمل تقديم الاستشارات والدراسات الإدارية للمؤسسات العامة أو للشركات كالدراسات والاستشارات التي تتناول تحليل العمليات التشغيلية والإدارية ودراسة هندسة الإجراءات وإعداد خرائط التدفقات والدورات المستندية المرتبطة بها, وصياغة السياسات الداخلية وإعادة هيكلة المنظمة, ووضع الدراسات المرتبطة بتطوير الخطط الإستراتيجية, وتطوير أنظمة العمل وتصميم بطاقات العمل المتوازنة بالإضافة إلى غيرها من الدراسات والإستشارات ذات العلاقة، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة.	Certified_Academic_Degree	1. Standalone License with "Administrative Consultancy and Studies” activity. If any additional activities are required, Client should have additional license subject to satisfying the relevant requirements. 2. Special Activity Fee AED 6,500/- to be charged for New Registration and Amendment Activity (Existing Clients) Cases 3. Company's manager should be UAE-resident OR should have visa under RAKEZ within six (6) months from the date of registration if he he/she has no UAE visa. 4. Company's Manager should have the minimal qualifications required such as bachelor degree in Business Administration or Economics or a related discipline and three years experience. 5. Undertaking not to act as a Corporate Service Provider (CSP) for the below services: • Acting as a formation agent of legal persons • Acting as (or arranging for another person to act as) a director or secretary of a company, a partner of a partnership, or a similar position in relation to other legal persons. • Providing a registered office; business address or accommodation, correspondence or administrative address for a company, a partnership or any other legal person or arrangement. • Acting as (or arranging for another person to act as) a trustee of an express trust. • Acting as (or arranging for another person to act as) a nominee shareholder for another person.
AM-09127	a0v4K000000GYmp	Freezone	8550002	Administrative Training Services	خدمات دعم التدريب الاداري	Active		Educational	تعليمية  	-			Standard		Consulting - Management and Information	 الإستشارات- الإدارة والمعلومات	Education	Consulting - Management and Information			Includes existing facilities whose work is related to educational institutes that conduct training in all areas of administrative work, as these establishments provide and prepare learning rooms and link them with the latest educational means and other closely related services, as well as provide membership cards and participation in training, which provides facilities for the trainee or an additional benefit to those institutes This branch does not include the training and education of clients	يشمل المنشأت القائمة والتى يرتبط عملها بالمعاهد التعليمية التى تقوم بالتدريب فى جميع مجالات العمل الأدارى حيث تقوم تلك المنشآت بتوفير وإعداد قاعات التعلم وربطها باحدث الوسائل التعليمية والخدمات الأخري الوثيقة الصلة و ايضا توفير بطاقات عضوية و اشتراك في التدريب مما يتيح تسهيلات للمتدرب او مزاية اضافية بتلك المعاهد ولايشمل هذا الفرع قيام تلك المنشآت بالتدريب والتعليم للعملاء	Certified_Academic_Degree	
AM-08933	a0v4K000001JoC4	Freezone	113005	Advanced Agriculture for vegetables and the melons and the roots and the tubers	الزراعة المتطورة للخضروات والبطيخيات والجذور والدرنات	Active		Services	خدمية	-	Low		Standard		Agricultural	الزراعة	Consumer Staples	Food & Beverages			Includes agricultural firms specialized in advanced growing by using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow leafy vegetables, fruits bearing vegetables, melon species, root-planting, tuberous vegetables., also, mushroom and other vegetable for commercial purpose, such firms are allowed to import materials used in the agricultural operations, such as, seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools.	يشمل المنشآت الزراعية المتخصصة في الزراعة بالطرق المتطورة بإستخدام الزراعات المائية والعمودية والبيوت الحديثة أوغيرها من الطرق غير التقليدية لزراعة الخضر الورقية والخضر المثمرة وأنواع البطيخيات وزراعة الجذور أو الأبصال والخضر الدرنية، كما يشمل زراعة الفطر وزراعة الخضر الأخرى للأغراض التجارية، يسمح لهذه المنشآت إستيراد المواد والأدوات التي تستخدمها في العمليات الزراعية مثل البذور والتقاوي، الأسمدة الكيماوية والعضوية والمصلحات الزراعية، مبيدات الآفات الزراعية، وكذلك الأجهزة الزراعية المتخصصة		Ministry of Climate Change and Environment
AM-03701	a0v580000018MIj	Freezone	743002	Advertisement Designing & Producing	تصميم وانتاج الاعلانات	Active		Services	خدمية	-	Low		Standard		Advertising	الدعايه و الاعلان	Communication Services	Media			Includes firms which design commercials and produce the same on audio or video tapes, paintings and photographs for newspapers and magazines, or wall posters.	يشمل تصميم الإعلانات التجارية وإنتاجها على شرائط إذاعية أو تلفزيونية أو سينمائية، أو إنتاجها على شكل لوحات وصور للصحف والمجلات أو على هيئة ملصقات لتثبيتها على الحوائط.		
AM-02571	a0v580000018M0V	Freezone	100001	Advertising & Communication Agency	وكالة الإعلانات والمعلومات	Inactive		Media	اعلام	-	Low		Standard	15,000	Advertising & Communication	الإعلانات وتبادل المعلومات	Communication Services	Media			Advertising & Communication Agency	وكالة الإعلانات والمعلومات		Media Brief Form
AM-06778	a0v5800000dp8DP	Freezone	100001	Advertising & Communication Agency	وكالة الإعلانات والمعلومات	Active		Media	اعلام	-	Low		Standard		Media & Marketing Services	الخدمات التسويقية والإعلامية	Communication Services	Media			Advertising & Communication Agency	وكالة الإعلانات والمعلومات		Media Brief Form
AM-09180	a0v4K000001apu3	Freezone	100743004	Advertising Agency	وكالة إعلان	Inactive		Media	اعلام	-			Standard		Professional 2	مهنيــــــــــة 2	Communication Services	Media						Media Regulatory Office / Ministry of Culture & Youth
AM-01867	a0v580000018Lp9	Freezone	513908	Advertising Requisites Trading	تجارة الوسائل والادوات الاعلانية	Active		Commercial	تجارية	-	Low		Standard		Advertising	الدعايه و الاعلان	Industrials	Commercial Services & Supplies			Includes reselling indoor and outdoor advertising requisites like boards, electric and non-electric signs as well as promotional gifts and similar items.	هي إعادة بيع الأدوات والتجهيزات التي تستخدم في الأغراض الإعلانية والترويجية المختلفة سواء لاستخدامها في الأجواء الداخلية أو الخارجية كاللوحات واللافتات الإعلانية الكهربائية وغير الكهربائية، كما يشمل ذلك إعادة بيع الهدايا الإعلانية وما شابهها.		
AM-03703	a0v580000018MIl	Freezone	743001	Advertising Researches & Consultancies	استشارات ودراسات اعلانية	Active		Services	خدمية	-	Low		Standard		Consultancy -D- management, information and marketing	الاستشارات - الادارة والمعلومات	Industrials	Professional Services			Includes providing advertising organizations advice and assistance on the creation of advertising campaigns and placement of such advertising in periodicals in order to encourage and persuade consumer behavior with respect to a commercial offering, also to employing different methodologies of research that works to improve the effectiveness and efficiency of advertising, such firms are not allowed to conduct field questionnaire before getting approval from the competent authority.	يشمل المنشآت التي تقدم للمؤسسات الإعلانية الإستشارات حول تصميم الحملات الإعلانية وكيفية عرض الإعلانات على الوسائط الإعلامية المختلفة بهدف التأثير على خيارات المستهلكين فيما يختص بالعروض التجارية المعلن عنها، كما يشمل القيام بإجراء البحوث التي تساعد المؤسسات المذكورة في تحسين أدائها الإعلاني، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة.		
AM-08951	a0v4K000001Wc6N	Freezone	7310026	Advertising Services via Websites	الخدمات الاعلانية عبر المواقع الالكترونية	Inactive		Media	اعلام	-	Low		Standard		Media & Marketing Services	الخدمات التسويقية والإعلامية	Communication Services	Media			Includes firms that seek to provide advertising services for marketing and promoting different products through their accounts in social media or via the Internet.	شمل المنشآت التي تعمل على تقديم الخدمات الاعلانية بالتسويق والترويج للمنتجات المختلفه عبر حساباتهم في مواقع التواصل الاجتماعي أو عبر شبكات الانترنت.		Media Regulatory Office / Ministry of Culture & Youth, Media Brief Form
AM-01854	a0v580000018Low	Freezone	7430-06	Aerial Advertising Services	خدمات الإعلان بالطائرات	Active		Services	خدمية	-	Low		Standard		Advertising	الدعايه و الاعلان	Communication Services	Media			Includes artworks, pictures, multiple word messages designed on banners flown by airplane in short trips at altitudes and routes permitted by the authorities in charge of air traffic. Airplanes must meet the safety requirements set by the concerned authorities. No firm can practice this activity prior to obtaining the required approvals from the general aviation Authorities and Civil Aviation Department.	يشمل تصميم الإعلانات التجارية وغيرها وإنتاجها على شكل صور أو عبارات مكتوبة ليتم سحبها خلف الطائرات الخفيفة في رحلات قصيرة على إرتفاعات ومسارات وأماكن تحددها الهيئات والسلطات المختصة بتنظيم الحركة الجوية, ويشترط أن تخضع الطائرات لمواصفات السلامة التي تقررها تلك الهيئات, كما يشترط في المنشآت التي تمارس هذا النشاط الحصول على موافقة الهيئة العامة للطيران المدني ودائرة الطيران المدني.		Department of Civil Aviation, Business Plan. Activity Not Allowed for Flexi Units.
AM-03568	a0v580000018MGa	Freezone	242406	Agarwood & Incense Manufacturing	صناعة العود والبخور والطيب	Active	150,000	Industrial	صناعية	-	Medium		Standard		Manufacturing of chemicals	صناعة الكيماويات	Consumer Staples	Household & Personal Products			Includes manufacturing agarwood, oriental perfumes and incense.	هي صناعة أنواع الطيب والعطور الشرقية وكذلك البخور والعود بأنواعه.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, RAK Municipality-Public Health Department
AM-01868	a0v580000018LpA	Freezone	513959	Agarwood & Incense Trading	تجارة العود والبخور والطيب	Active		Commercial	تجارية	-	Medium		Standard		Ready made garments qroup	مجموعة الملابس الجاهزة	Consumer Staples	Consumer Staples Distribution & Retail			Includes reselling agarwood, oriental perfumes, various types of incense, as well as bottles, empty boxes, vaporizers...etc.	هي إعادة بيع أنواع الطيب والعطور الشرقية وكذلك البخور والعود بأنواعه، كما يشمل إعادة بيع غير ذلك من اللوازم كالزجاجات والعلب الفارغة ومباخر رش العطور وغيرها.		
AM-01855	a0v580000018Lox	Freezone	5149-02	Agricultural & Veterinary Pesticides Trading	تجارة مبيدات الآفات الزراعية والبيطرية	Active		Commercial	تجارية	-	Medium		Standard		Agricultural	الزراعة	Industrials	Trading Companies & Distributors			Includes reselling materials intended for protection against and extermination and control of agricultural pests, including disease carriers affecting animals and plants. Pests are meant to be any plant or creature harmful or destructive, such as insects, spiders, nematodes, bacteria, fungal, moss, plant viruses, harmful weeds, parasitic plants, harmful birds, rodents, also, products plant growth controllers and crop protection.	هي إعادة بيع المواد التي يكون الغرض منها الوقاية من الآفات الزراعية أو القضاء عليها أو مكافحتها بما في ذلك ناقلات الأمراض لأنواع النبات أو الحيوان, ويقصد بالآفات كل حيوان أو نبات أو كائن حي ضار أو مدمر مثل الحشرات والعناكب والنيماتودا والبكتريا والفطريات والطحالب والفيروسات النباتية والحشائش الضارة والنباتات الطفيلية والطيور الضارة والقوارض وماإليها, ويشمل ذلك المواد المستخدمة لتنظيم نمو النبات أو وقاية المحاصيل.		For Warehouse & Land: Ministry of Climate Change and Environment
AM-06522	a0v58000002w77r	Freezone	64990-03	Agricultural Enterprises Investment, Institution and Management	الاستثمار في المشروعات الزراعية و تأسيسها و ادارتها	Active		Commercial	تجارية	ESR	Low		Standard		Investment	الإستثمار	Financials	Investment Companies	Investment	الإستثمار	Includes firms and holding companies formed in order to invest their funds or create the necessary investments for the establishment of subsidiary projects, which carry out agricultural activities and other subsidiary activities, such as land reclamation, establishment of agricultural projects, cattle, sheep and chicken farms, as well as the marketing of agricultural crops and investment in fish and sea animal resources. This also includes the management of such subsidiary companies and the organization of their affairs.	يشمل المؤسسات والشركات القابضة (المهيمنة) التي تؤسس بغرض إستثمار أموالها أو توفير الإستثمارات   المالية اللازمة لتأسيس المشروعات التابعة والتي تزاول الأنشطة الزراعية وغيرها من الأنشطة التابعة لها ومن ذلك إستصلاح الأراضي وإنشاء المشروعات   الزراعية ومزارع تربية الماشية والأغنام والدواجن وتسويق المحاصيل الزراعية والإستثمار في إستغلال  الثروات السمكية والبحرية, كما يشمل نشاط هذه   المؤسسات إدارة مؤسساتها التابعة وتنظيم شؤونها.		Business Plan to be Reviewed and Approved by Sales Director Proof of Funds proving that the investable / liquid assets exceeds 500k US Dollars (Can be either a bank confirmation letter, or an auditor or lawyer confirmation letter, and the letter should be current dated within last 60 days.'Mandatory RAKEZ Visa within 6 months of the License Issuance". Activity Not Allowed for Flexi Units.
AM-01869	a0v580000018LpB	Freezone	515902	Agricultural Equipment & Accessories Trading	تجارة المعدات والمكائن الزراعية ولوازمها	Active		Commercial	تجارية	-	Low		Standard		Wholesale of machinery, equipment and supplies	بيع الآلات والمعدات واللوازم بالجملة	Industrials	Trading Companies & Distributors			Includes reselling of agricultural equipment and machinery used in farms, orchards and gardens to cut grass and small trees and roots, pesticides sprayers as well as other attachments to enable for different uses.	هي إعادة بيع المعدات والمكائن الزراعية التي تستخدم في المزارع والبساتين والحدائق كآلات قص الحشائش والشجيرات وقطع جذور الأشجار ورش الآفات الزراعية بالمبيدات والسموم، كما يشمل ذلك إعادة بيع لوازم المعدات من القطع التي تضاف إليها لتنويع استخداماتها.		
AM-01884	a0v580000018LpQ	Freezone	515903	Agricultural Equipment & Machinery Spare Parts Trading	تجارة قطع غيار الآلات والمكائن الزراعية	Active		Commercial	تجارية	-	Low		Standard		Wholesale of machinery, equipment and supplies	بيع الآلات والمعدات واللوازم بالجملة	Industrials	Trading Companies & Distributors			Includes reselling the spare parts of the agricultural machinery for soil preparation, planting or fertilizing, ploughing, manure spreading, seeding, grass cutting, sorters, milkers, pesticides sprayers, poultry and bee-keeping.	هي إعادة بيع قطع غيار المعدات والأدوات المستخدمة في الزراعة والبستنة والغابات وتجهيز التربة الزراعية من حرث وغرس وتسميد وبذر، قص العشب، تنظيف وفرز وتصنيف المحاصيل، حلب الماشية، رش المبيدات، المداجن والمناحل، حصد المحاصيل وجمع الفواكه.		
AM-01863	a0v580000018Lp5	Freezone	2421-02	Agricultural Pesticides Manufacturing	صناعة مبيدات الآفات الزراعية	Inactive	150,000	Industrial	صناعية	-			Standard		Manufacturing of chemicals	صناعة الكيماويات	Materials	Chemicals			Includes manufacturing pesticides for preventing, controlling and exterminating agricultural pests, including disease carriers infecting plants or animals, by pests we mean all minute animals, plants, or living creatures that can be harmful or destructive, such as insects, spiders, nematode, bacteria, fungal, moss, plant viruses, harmful weeds, parasitic plants, harmful birds, rodents and others.	يشمل صناعة المواد التي يكون الغرض منها الوقاية من الآفات الزراعية أو القضاء عليها أو مكافحتها بما في ذلك ناقلات الأمراض لأنواع النبات أو الحيوان ويقصد بالآفات كل حيوان أو نبات أو كائن حي دقيق ضار أو مدمر مثل الحشرات والعناكب والنياماتودا والبكتريا والفطريات والطحالب والفيروسات النباتية والحشائش الضارة والنباتات الطفيلية والطيور الضارة والقوارض وما إليها.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-09173	a0v4K000001aptZ	Freezone	7110922	Agricultural Projects Management	استشارات ادارة المشاريع الزراعية	Active		Services	خدمية	-	Low		Standard		Consulting - agriculture and soil	الإستشارات-الزراعة والتربة	Industrials	Professional Services			Includes offices of the specialized agencies of the fundamental principles of the management of agricultural projects. From the analysis of the project, planning, programming, and organization, and monitored during implementation.and study the different ways to program the agricultural projects,	يشمل المكاتب المتخصصة بالمبادئ الأساسية لإدارة المشاريع الزراعية . من تحليل المشروع، وتخطيطه، وبرمجته، وتنظيمه، ومراقبته أثناء التنفيذ.و دراسة الطرق المختلفة لبرمجة المشاريع الزراعية ،	Certified_Academic_Degree	Ministry of Climate Change & Environment
AM-03572	a0v580000018MGe	Freezone	741423	Agricultural Research & Consultancy	الاستشارات والدراسات والأبحاث الزراعية	Active		Services	خدمية	-	Low		Standard		Consultancy -A- Agriculture and Soil	الاستشارات - الزراعة والتربة	Industrials	Professional Services			Includes firms providing consultancy and research related to agricultural economic feasibility, land reclamation and irrigation, agricultural project development, animal poultry farming.	تشمل المنشآت التي تعمل في تقديم الإستشارات وعمل الدراسات والأبحاث ودراسات الجدوى الاقتصادية المتعلقة بالزراعة واستصلاح الأراضي والري وإنشاء المشاريع الزراعية وما يتعلق بها كما يشمل استشارات تربية الماشية والحيوانات والدواجن.		
AM-01885	a0v580000018LpR	Freezone	514207	Agricultural Tools Trading	تجارة العدد والادوات الزراعية	Active		Commercial	تجارية	-	Low		Standard		Wholesale of machinery, equipment and supplies	بيع الآلات والمعدات واللوازم بالجملة	Industrials	Trading Companies & Distributors			Includes reselling gardening and nurseling tools, including soil movers, trees cutters, planters, palm pollination, irrigation hoses, flower pots, fruit baskets, also, wax cells, beekeepers cloths, apiary accessories, as well as poultry and livestock farms tools.	هي إعادة بيع الأدوات والعدد المستخدمة في أعمال الزراعة والبستنة والمشاتل مثل أدوات تهيئة التربة وتقليم الأشجار وغرس النباتات وتأبير النخيل وخراطيم وأواني الري والأصص وعربات النقل وسلال جمع الثمار وغيرها، كما يشمل أدوات المناحل من خلايا وشمع وملابس للنحالين وكذلك الأدوات المستخدمة في المداجن ومزارع تربية الماشية وإكثار الحيوانات.		
AM-01886	a0v580000018LpS	Freezone	515901	Agricultural Tractors & Machinery Trading	تجارة الجرارات والآليات الزراعية ولوازمها	Active		Commercial	تجارية	-	Low		Standard		Wholesale of machinery, equipment and supplies	بيع الآلات والمعدات واللوازم بالجملة	Industrials	Trading Companies & Distributors			Includes reselling of agricultural tractors and machinery, ploughs, seeding devices, and harvesters, and other attachments to enable for different uses.	هي إعادة بيع الجرارات والآليات الزراعية كالمحاريث والباذرات والحاصدات وغيرها، ولوازمها من القطع التي تضاف إليها لتنويع استخداماتها.		
AM-03623	a0v580000018MHT	Freezone	292101	Agricultural Tractors Manufacturing	صناعة الجرارات الزراعية	Active	150,000	Industrial	صناعية	-	Low		Standard		Equipment and engines manufacturing	صناعة المعدات والمحركات	Industrials	Machinery & Equipment			Includes manufacturing tractors and related agricultural machinery for different operations such as ploughs, seeders, harvesters, planters, threshers, sorters, manure spreaders and soil preparation.	يشمل صناعة الجرارات والآليات لمختلف العمليات الزراعية كالمحاريث، الباذرات، والحاصدات، الزارعات، الدراسات، الفارزات، ناشرات السماد، ممهدات التربة.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
