Activity Master: Activity Master Number,Activity Master: ID,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating -RR,Is Special,Activity Price,Activity Group,Activity Group (Arabic),GICS Business Sector,GICS Subsector,Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-04607,a0v580000018MXL,Non-Freezone,2392001,Accessories and Sanitary Ware Manufacturing,صناعة أطقم وأدوات الحمامات,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,Industrials,Building Products,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01852,a0v580000018Lou,Freezone,7412-02,Accounting & Bookkeeping,تنظيم السجلات والدفاتر المحاسبية ومسكها,Active,,Services,خدمية,ESR,Low,,Special,"5,000",Accounts,الحسابات,Industrials,Professional Services,,,"Includes the offices specialized in setting and designing accounting systems for companies and firms, designing accounting documents, records and books, setting documentary cycles or other accounting processes. These offices offer services against fixed fees, but may not examine or audit accounts.",يشمل المكاتب المختصة بالقيام بوضع وتصميم الأساليب المحاسبية للشركات والمؤسسات وكذلك تصميم نماذج المستندات المحاسبية والسجلات والدفاتر المستخدمة ووضع الدورات المستندية أو غيرها من العمليات المحاسبية بحيث تؤدي هذه المكاتب خدماتها للغير مقابل أجر معين ولايجوز لهذه المكاتب مزاولة عمليات فحص الحسابات وتدقيقها أو مراجعتها.,Certified_Academic_Degree,"Business Plan to be Reviewed and Approved by Sales Director,Designated Non-Financial Business or Profession (DNFBP),Certified Academic Degree,'Mandatory RAKEZ Visa within 6 months of the License Issuance"". Activity Not Allowed for Flexi Units."
AM-08118,a0v4H00000fYciy,Non-Freezone,6920003,Accounting Records and Books Keeping Organization,تنظيم ومسك السجلات والدفاتر المحاسبية,Active,,Professional,مهنية,-,Low,,Standard,,Accounting Activities,الأنشطة المحاسبية,,,Accounting Activities,الأنشطة المحاسبية,,,Certified_Academic_Degree,Signed: Designated Non-Financial Business or Profession (DNFBP)
AM-03521,a0v580000018MFp,Freezone,809044,Accounting Training,التدريب على المحاسبة,Active,,Educational,تعليمية  ,-,Low,,Standard,"10,000",Training Institute,معهد تدريب,Education,Training Institute,,,"Includes providing training on maintaining, auditing and recording financial transactions, including, accounting auditing, bookkeeping, tax accounting.",يشمل التدريب على عمليات تصحيح ومراجعة الحسابات وتسجيل المعاملات المالية، ويشمل ذلك مراجعة الحسابات، مسك الدفاتر، المحاسبة الضريبية .,,Academic Zone
AM-09155,a0v4K000001aprd,Freezone,6920001,Accounts Auditing,تدقيق ومراجعة الحسابات,Inactive,,Services,خدمية,-,Low,,Standard,,Accounting Activities,الأنشطة المحاسبية,Industrials,Professional Services,,,"Includes offices specialized in practicing accounting services and qualified to audit accounts of companies and firms and make comprehensive examination and auditing of all kinds of accounts, records and accounting books of an establishment, the outcome of its business, reports on its financial position.","يشمل المكاتب المختصة بمزاولة الأعمال المحاسبية والمؤهلة   للقيام بعمليات مراجعة حسابات الشركات والمؤسسات وإجراء   الفحص والتدقيق الشامل لجميع أنواع الحسابات والسجلات   والدفاتر المحاسبية لمنشأة ما ونتائج أعمالها وإعداد   التقارير المتعلقة بإظهار وضعها المالي, بالإضافة إلى   إختصاص هذه المكاتب بالقيام بسائر أعمال المحاسبة بفروعها  المختلفة وكذلك تقديم الإستشارات المحاسبية.",Certified_Academic_Degree,"Ministry of Economy,Signed: Designated Non-Financial Business or Profession (DNFBP)"
AM-03136,a0v580000018M9c,Non-Freezone,6920001,Accounts Auditing,تدقيق ومراجعة الحسابات,Active,,Professional,مهنية,-,Low,,Standard,,Accounting Activities,الأنشطة المحاسبية,Industrials,Professional Services,Accounting Activities,الأنشطة المحاسبية,,,Certified_Academic_Degree,"Ministry of Economy,Signed: Designated Non-Financial Business or Profession (DNFBP)"
AM-01853,a0v580000018Lov,Freezone,5149-08,Acids & Alkalines Trading,تجارة الأحماض والقلويات,Active,,Commercial,تجارية,-,Medium,,Standard,,Chemicals trading,تجارة الكيماويات,Industrials,Trading Companies & Distributors,,,Includes reselling acids and alkalines for producing other industrial products and compounds.,هي إعادة بيع الأحماض والقلويات المستخدمة في الأغراض الصناعية لإستخدامها في إنتاج منتجات أو مركبات صناعية أخرى.,,"For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV"
AM-07202,a0v4H00000fYcUC,Non-Freezone,2029026,"Activated Carbon, Auxiliary Agents and Anti Corrosions Chemicals Manufacturing",صناعة الكربون المنشط والعوامل المساعدة والمواد الواقية الكيماوية,Active,"150,000",Industrial,صناعية,-,High,,Standard,,Chemical industry,صناعة الكيماويات,Materials,Chemicals,Chemical industry,صناعة الكيماويات,"Activated Carbon, Auxiliary Agents and Anti Corrosions Chemicals Manufacturing",صناعة الكربون المنشط والعوامل المساعدة والمواد الواقية الكيماوية,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06893,a0v5800000dq0xS,Freelance Permit,1523051,ACTOR,ممثل,Active,,Freelance Permit,تصريح حر,-,Low,,,,Media,اعلام,,,,,,,,
AM-03698,a0v580000018MIg,Freezone,242209,Adhesive & Paper Slitting,تقطيع مواد اللصق والورق,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Manufacturing of chemicals,صناعة الكيماويات,Materials,Paper & Forest Products,,,Includes using slitting machines to cut large rolls of adhesives and papers into narrower rolls.,يشمل عمليات تقطيع لفائف مواد اللصق والورق الكبيرة إلى لفائف أقل حجما.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01548,a0v580000018Lk0,Non-Freezone,2029007,Adhesive Materials Manufacturing,صناعة مواد اللصق,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,Materials,Chemicals,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03155,a0v580000018M9v,Non-Freezone,100242205,Adhesives Manufacturing,صناعة مواد اللصق,Inactive,,Industrial,صناعية,-,Medium,,Standard,,Industrial 2,صناعيـــــــة 2,Materials,Chemicals,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03699,a0v580000018MIh,Freezone,242205,Adhesives Manufacturing,صناعة مواد اللصق,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Manufacturing of chemicals,صناعة الكيماويات,Materials,Chemicals,,,"Includes manufacturing adhesive materials for sticking paper, glass, metal, plastic or wood pieces, to use in printing, lamination, packaging, in construction for fixing ceramic, slabs and maquette, or wall-paper...etc, also producing adhesive tapes in paper, plastic, fabrics or others.",يشمل صناعة المواد المستخدمة في لصق الاوراق أو الأجزاء الزجاجية أو المعدنية أو البلاستيكية أو الخشبية أو لأغراض الطباعة والتجليد أو في إغلاق وتغليف الصناديق والعلب الكرتونية والورقية أو في أغراض البناء لتثبيت السيراميك والبلاط أو تثبيت السجاد (الموكيت) أو في لصق ورق الحائط أو غير ذلك، كما يشمل إنتاج الشرائط اللاصقة من الورق أو البلاستيك أو القماش أو غيرها.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01866,a0v580000018Lp8,Freezone,514917,Adhesives Trading,تجارة المواد اللاصقة,Active,,Commercial,تجارية,-,Medium,,Standard,,Chemicals trading,تجارة الكيماويات,Industrials,Trading Companies & Distributors,,,"Includes reselling of glass, metal, plastic, wood fixing adhesive, packs, boxes, carton boxes closing tapes, paper, tiles, flooring and cladding adhesives and tapes, and any other material not classified under glue and gum.",هي إعادة بيع المواد المستخدمة في لصق الأجزاء الزجاجية أو المعدنية أو البلاستيكية أو الخشبية أو المستخدمة في إغلاق العبوات والصناديق الورقية والكرتونية، ولصق الورق والبلاط والأرضيات وكذلك مواد التكسية كالمعاجين والشرائط وغيرها من المواد اللاصقة ولوازمها التي لا تندرج تحت نشاط تجارة الصمغ والغراء.,,
AM-06907,a0v5800000dq0xg,Freelance Permit,2423015,ADMINISTRAIVE SKILLS TRAINER,مدرب مهارات إدارية,Inactive,,Freelance Permit,تصريح حر,-,,,,,Education,تعليمية  ,,,,,,,,Academic Zone
AM-08127,a0v4H00000fYcj7,Non-Freezone,7020003,Administrative Consultancy and Studies,استشارات ودراسات ادارية,Active,,Professional,مهنية,-,Low,,Special,"5,000",Consultation and project management,الإستشارت و إدارة المشاريع,Industrials,Professional Services,Consultations and studies,الإستشارات و الدراسات في العلوم,"Includes providing administrative consultancies and studies to organizations to help them improve their performance, through the analysis of existing organizational problems and the development of plans for improvement., it involves procedural engineering, laying out flow-charts and related documents circulation, internal policy formulation, organizational restructuring, strategic plans development, innovating work procedures, designing balanced scorecards, such firms are not allowed to conduct field surveys In addition to other related studies and consultations","""يشمل تقديم الاستشارات والدراسات الإدارية للمؤسسات العامة أو للشركات كالدراسات والاستشارات التي تتناول تحليل العمليات التشغيلية والإدارية ودراسة هندسة الإجراءات وإعداد خرائط التدفقات والدورات المستندية المرتبطة بها, وصياغة السياسات الداخلية وإعادة هيكلة المنظمة, ووضع الدراسات المرتبطة بتطوير الخطط الإستراتيجية, وتطوير أنظمة العمل وتصميم بطاقات العمل المتوازنة بالإضافة إلى غيرها من الدراسات والإستشارات ذات العلاقة """,,
AM-08810,a0v4K0000001nIn,Freezone,70200-03,Administrative Consultancy and Studies,استشارات ودراسات ادارية,Active,,Services,خدمية,-,Low,,Special,"5,000","Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,Industrials,Professional Services,,,"Includes providing administrative consultancies and studies to public departments and companies as regarding administrative performance analysis, procedural engineering, laying out flow-charts and related documents circulation, internal policy formulation, organizational restructuring, strategic plans development, innovating work procedures, designing balanced scorecards, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority.","يشمل تقديم الاستشارات والدراسات الإدارية للمؤسسات العامة أو للشركات كالدراسات والاستشارات التي تتناول تحليل العمليات التشغيلية والإدارية ودراسة هندسة الإجراءات وإعداد خرائط التدفقات والدورات المستندية المرتبطة بها, وصياغة السياسات الداخلية وإعادة هيكلة المنظمة, ووضع الدراسات المرتبطة بتطوير الخطط الإستراتيجية, وتطوير أنظمة العمل وتصميم بطاقات العمل المتوازنة بالإضافة إلى غيرها من الدراسات والإستشارات ذات العلاقة، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة.",Certified_Academic_Degree,"1. Standalone License with ""Administrative Consultancy and Studies” activity. If any additional activities are required, Client should have additional license subject to satisfying the relevant requirements. 2. Special Activity Fee AED 6,500/- to be charged for New Registration and Amendment Activity (Existing Clients) Cases 3. Company's manager should be UAE-resident OR should have visa under RAKEZ within six (6) months from the date of registration if he he/she has no UAE visa. 4. Company's Manager should have the minimal qualifications required such as bachelor degree in Business Administration or Economics or a related discipline and three years experience. 5. Undertaking not to act as a Corporate Service Provider (CSP) for the below services: • Acting as a formation agent of legal persons • Acting as (or arranging for another person to act as) a director or secretary of a company, a partner of a partnership, or a similar position in relation to other legal persons. • Providing a registered office; business address or accommodation, correspondence or administrative address for a company, a partnership or any other legal person or arrangement. • Acting as (or arranging for another person to act as) a trustee of an express trust. • Acting as (or arranging for another person to act as) a nominee shareholder for another person."
AM-08612,a0v4H00000g5mdh,Non-Freezone,8299004,Administrative Services - Businessmen Services,الخدمات الأدارية لرجال الاعمال,Active,,Professional,مهنية,-,Low,,Standard,,Printing offices,مكاتب الطباعة,Industrials,Commercial Services & Supplies,Printing offices,مكاتب الطباعة,"Includes business facilities which provide the necessary SECRETARIAL SHORTHAND liberalization of the records of the meetings of their meetings, as well as the management of some of their own affairs, such as the organization of the manifestoes and reception and arrange meetings with other parties, as well as arrange travel bookings in aircraft, cars or stay in hotels and other.","يشمل المنشآت التي توفر لرجال الأعمال خدمات السكرتارية والاختزال الضرورية وتحرير محاضر الجلسات لأعمالهم وإجتماعاتهم, وكذلك إدارة بعض شؤونهم مثل تنظيم مواعيدهم واستقبالهم وترتيب اجتماعاتهم مع الأطراف الأخرى بالإضافة إلى ترتيب حجوزات السفر والإنتقال في الطائرات أو السيارات أو الإقامة في الفنادق وغيرها",,
AM-09127,a0v4K000000GYmp,Freezone,8550002,Administrative Training Services,خدمات دعم التدريب الاداري,Active,,Educational,تعليمية  ,-,,,Standard,,Consulting - Management and Information, الإستشارات- الإدارة والمعلومات,Education,Consulting - Management and Information,,,"Includes existing facilities whose work is related to educational institutes that conduct training in all areas of administrative work, as these establishments provide and prepare learning rooms and link them with the latest educational means and other closely related services, as well as provide membership cards and participation in training, which provides facilities for the trainee or an additional benefit to those institutes This branch does not include the training and education of clients",يشمل المنشأت القائمة والتى يرتبط عملها بالمعاهد التعليمية التى تقوم بالتدريب فى جميع مجالات العمل الأدارى حيث تقوم تلك المنشآت بتوفير وإعداد قاعات التعلم وربطها باحدث الوسائل التعليمية والخدمات الأخري الوثيقة الصلة و ايضا توفير بطاقات عضوية و اشتراك في التدريب مما يتيح تسهيلات للمتدرب او مزاية اضافية بتلك المعاهد ولايشمل هذا الفرع قيام تلك المنشآت بالتدريب والتعليم للعملاء,Certified_Academic_Degree,
AM-04144,a0v580000018MPs,Non-Freezone,8550002,Administrative Training Services,خدمات دعم التدريب الاداري,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,Education,Consulting - Management and Information,,,,,Certified_Academic_Degree,
AM-08933,a0v4K000001JoC4,Freezone,113005,Advanced Agriculture for vegetables and the melons and the roots and the tubers,الزراعة المتطورة للخضروات والبطيخيات والجذور والدرنات,Active,,Services,خدمية,-,Low,,Standard,,Agricultural,الزراعة,Consumer Staples,Food & Beverages,,,"Includes agricultural firms specialized in advanced growing by using methods of hydroponics, vertical farming and greenhouses or other non- traditional methods to grow leafy vegetables, fruits bearing vegetables, melon species, root-planting, tuberous vegetables., also, mushroom and other vegetable for commercial purpose, such firms are allowed to import materials used in the agricultural operations, such as, seeds, chemical and organic fertilizers, pesticides, as well as the specialized agricultural tools.",يشمل المنشآت الزراعية المتخصصة في الزراعة بالطرق المتطورة بإستخدام الزراعات المائية والعمودية والبيوت الحديثة أوغيرها من الطرق غير التقليدية لزراعة الخضر الورقية والخضر المثمرة وأنواع البطيخيات وزراعة الجذور أو الأبصال والخضر الدرنية، كما يشمل زراعة الفطر وزراعة الخضر الأخرى للأغراض التجارية، يسمح لهذه المنشآت إستيراد المواد والأدوات التي تستخدمها في العمليات الزراعية مثل البذور والتقاوي، الأسمدة الكيماوية والعضوية والمصلحات الزراعية، مبيدات الآفات الزراعية، وكذلك الأجهزة الزراعية المتخصصة,,Ministry of Climate Change and Environment
AM-08572,a0v4H00000g5md3,Non-Freezone,7310001,Advertisement Agency,وكالة الدعاية والإعلان,Active,,Professional,مهنية,-,Low,,Standard,,publicity and announcement,الدعاية والإعلان,Communication Services,Media,publicity and announcement,الدعاية والإعلان,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-03701,a0v580000018MIj,Freezone,743002,Advertisement Designing & Producing,تصميم وانتاج الاعلانات,Active,,Services,خدمية,-,Low,,Standard,,Advertising,الدعايه و الاعلان,Communication Services,Media,,,"Includes firms which design commercials and produce the same on audio or video tapes, paintings and photographs for newspapers and magazines, or wall posters.",يشمل تصميم الإعلانات التجارية وإنتاجها على شرائط إذاعية أو تلفزيونية أو سينمائية، أو إنتاجها على شكل لوحات وصور للصحف والمجلات أو على هيئة ملصقات لتثبيتها على الحوائط.,,
AM-08573,a0v4H00000g5md4,Non-Freezone,7310006,Advertisements Designing and Production,تصميم وإنتاج الاعلانات,Active,,Professional,مهنية,-,Low,,Standard,,publicity and announcement,الدعاية والإعلان,,,publicity and announcement,الدعاية والإعلان,Includes the design and production of advertising on television or radio tapes cinematic or produced in the form of paintings and photos of newspapers and magazines or on the posters to install on the walls,يشمل تصميم الإعلانات التجارية وإنتاجها علي شرائط إذاعية أو تلفزيونية أو سينمائية أو إنتاجها علي شكل لوحات وصور للصحف والمجلات أو علي هيئة ملصقات لتثبيتها علي الحوائط,,Media Regulatory Office / Ministry of Culture & Youth
AM-02571,a0v580000018M0V,Freezone,100001,Advertising & Communication Agency,وكالة الإعلانات والمعلومات,Inactive,,Media,اعلام,-,Low,,Standard,"15,000",Advertising & Communication,الإعلانات وتبادل المعلومات,Communication Services,Media,,,Advertising & Communication Agency,وكالة الإعلانات والمعلومات,,Media Brief Form
AM-06778,a0v5800000dp8DP,Freezone,100001,Advertising & Communication Agency,وكالة الإعلانات والمعلومات,Active,,Media,اعلام,-,Low,,Standard,,Media & Marketing Services,الخدمات التسويقية والإعلامية,Communication Services,Media,,,Advertising & Communication Agency,وكالة الإعلانات والمعلومات,,Media Brief Form
AM-09180,a0v4K000001apu3,Freezone,100743004,Advertising Agency,وكالة إعلان,Inactive,,Media,اعلام,-,,,Standard,,Professional 2,مهنيــــــــــة 2,Communication Services,Media,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-06952,a0v5800000dq0yP,Freelance Permit,1514111,ADVERTISING EDITOR,محرر دعايه ونشر,Active,,Freelance Permit,تصريح حر,-,Low,,,,Media,اعلام,,,,,,,,
AM-01867,a0v580000018Lp9,Freezone,513908,Advertising Requisites Trading,تجارة الوسائل والادوات الاعلانية,Active,,Commercial,تجارية,-,Low,,Standard,,Advertising,الدعايه و الاعلان,Industrials,Commercial Services & Supplies,,,"Includes reselling indoor and outdoor advertising requisites like boards, electric and non-electric signs as well as promotional gifts and similar items.",هي إعادة بيع الأدوات والتجهيزات التي تستخدم في الأغراض الإعلانية والترويجية المختلفة سواء لاستخدامها في الأجواء الداخلية أو الخارجية كاللوحات واللافتات الإعلانية الكهربائية وغير الكهربائية، كما يشمل ذلك إعادة بيع الهدايا الإعلانية وما شابهها.,,
AM-03703,a0v580000018MIl,Freezone,743001,Advertising Researches & Consultancies,استشارات ودراسات اعلانية,Active,,Services,خدمية,-,Low,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,Industrials,Professional Services,,,"Includes providing advertising organizations advice and assistance on the creation of advertising campaigns and placement of such advertising in periodicals in order to encourage and persuade consumer behavior with respect to a commercial offering, also to employing different methodologies of research that works to improve the effectiveness and efficiency of advertising, such firms are not allowed to conduct field questionnaire before getting approval from the competent authority.",يشمل المنشآت التي تقدم للمؤسسات الإعلانية الإستشارات حول تصميم الحملات الإعلانية وكيفية عرض الإعلانات على الوسائط الإعلامية المختلفة بهدف التأثير على خيارات المستهلكين فيما يختص بالعروض التجارية المعلن عنها، كما يشمل القيام بإجراء البحوث التي تساعد المؤسسات المذكورة في تحسين أدائها الإعلاني، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة.,,
AM-08951,a0v4K000001Wc6N,Freezone,7310026,Advertising Services via Websites,الخدمات الاعلانية عبر المواقع الالكترونية,Inactive,,Media,اعلام,-,Low,,Standard,,Media & Marketing Services,الخدمات التسويقية والإعلامية,Communication Services,Media,,,Includes firms that seek to provide advertising services for marketing and promoting different products through their accounts in social media or via the Internet.,شمل المنشآت التي تعمل على تقديم الخدمات الاعلانية بالتسويق والترويج للمنتجات المختلفه عبر حساباتهم في مواقع التواصل الاجتماعي أو عبر شبكات الانترنت.,,"Media Regulatory Office / Ministry of Culture & Youth, Media Brief Form"
